Sample,Time_ms,Raw_Bytes
187,245979,55 11 0 4 3 6 0 0 160 64 164 101
188,247991,55 11 0 4 3 6 0 0 0 65 29 165
189,248979,55 10 0 4 3 7 1 1 4 92 191
190,249979,55 11 0 4 3 6 0 0 224 64 149 165
191,250994,55 10 0 4 3 7 1 1 5 157 127
192,252979,55 11 0 4 3 6 0 0 224 64 149 165
193,254980,55 11 0 4 3 6 0 0 224 64 149 165
194,256979,55 11 0 4 3 6 0 0 224 64 149 165
195,258979,55 11 0 4 3 6 0 0 0 65 29 165
196,260979,55 11 0 4 3 6 0 0 16 65 16 101
197,261979,55 10 0 4 5 1 1 1 1 20 52
198,262979,55 10 0 4 3 7 1 1 3 29 125
199,263979,55 11 0 4 3 6 0 0 224 64 149 165
200,264979,55 10 0 4 3 7 1 1 5 157 127
201,266992,55 11 0 4 3 6 0 0 224 64 149 165
202,267978,55 10 0 4 3 7 1 1 2 220 189
203,268979,55 11 0 4 3 6 0 0 0 65 29 165
204,269979,55 10 0 4 3 7 1 1 2 220 189
205,270979,55 11 0 4 3 6 0 0 224 64 149 165
206,272979,55 11 0 4 3 6 0 0 0 65 29 165
207,273979,55 11 0 4 3 6 0 0 224 64 149 165
208,275979,55 11 0 4 3 6 0 0 48 65 9 165
209,276979,55 10 0 4 5 1 1 1 1 20 52
210,277979,55 11 0 4 3 6 0 0 16 65 16 101
211,278990,55 10 0 4 3 7 1 1 3 29 125
212,280980,55 11 0 4 3 6 0 0 0 65 29 165
213,281979,55 11 0 4 3 6 0 0 192 64 140 101
214,282981,55 10 0 4 3 7 1 1 3 29 125
215,283982,55 11 0 4 3 6 0 0 224 64 149 165
216,284983,55 10 0 4 3 7 1 1 5 157 127
217,286980,55 11 0 4 3 6 0 0 160 64 164 101
218,287982,55 10 0 4 3 7 1 1 2 220 189
219,288982,55 11 0 4 3 6 0 0 32 65 4 101
220,289982,55 10 0 4 3 7 1 1 5 157 127
221,290994,55 11 0 4 3 6 0 0 32 65 4 101
222,291983,55 11 0 4 3 6 0 0 224 64 149 165
223,292982,55 11 0 4 3 6 0 0 160 64 164 101
224,293982,55 11 0 4 3 6 0 0 32 65 4 101
225,295982,55 11 0 4 3 6 0 0 192 64 140 101
226,297982,55 11 0 4 3 6 0 0 224 64 149 165
227,299982,55 11 0 4 3 6 0 0 192 64 140 101
228,301982,55 11 0 4 3 6 0 0 224 64 149 165
229,302982,55 11 0 4 3 6 0 0 192 64 140 101
230,304981,55 11 0 4 3 6 0 0 192 64 140 101
231,305994,55 11 0 4 3 6 0 0 192 64 140 101
232,306982,55 11 0 4 3 6 0 0 192 64 140 101
233,307982,55 10 0 4 3 7 1 1 2 220 189
234,308980,55 10 0 4 3 7 1 1 3 29 125
235,309981,55 10 0 4 3 7 1 1 2 220 189
236,310982,55 10 0 4 3 7 1 1 3 29 125
237,311982,55 11 0 4 3 6 0 0 224 64 149 165
238,313983,55 11 0 4 3 6 0 0 0 65 29 165
239,315979,55 11 0 4 3 6 0 0 0 65 29 165
240,317979,55 11 0 4 3 6 0 0 16 65 16 101
241,319992,55 11 0 4 3 6 0 0 16 65 16 101
242,321979,55 11 0 4 3 6 0 0 192 64 140 101
243,322980,55 10 0 4 5 1 1 1 1 20 52
244,324979,55 11 0 4 3 6 0 0 32 65 4 101
245,326980,55 11 0 4 3 6 0 0 192 64 140 101
246,327979,55 11 0 4 3 6 0 0 224 64 149 165
247,328979,55 10 0 4 3 7 1 1 3 29 125
248,330979,55 11 0 4 3 6 0 0 32 65 4 101
249,331979,55 10 0 4 3 7 1 1 5 157 127
250,333979,55 11 0 4 3 6 0 0 224 64 149 165
