Sample,Time_ms,Raw_Bytes
199,328982,55 11 0 4 3 6 0 0 224 64 149 165
200,330980,55 11 0 4 3 6 0 0 32 65 4 101
201,332992,55 11 0 4 3 6 0 0 16 65 16 101
202,333981,55 11 0 4 3 6 0 0 16 65 16 101
203,334980,55 10 0 4 3 7 1 1 2 220 189
204,335980,55 11 0 4 3 6 0 0 16 65 16 101
205,336983,55 10 0 4 3 7 1 1 4 92 191
206,338981,55 11 0 4 3 6 0 0 80 65 33 165
207,340980,55 11 0 4 3 6 0 0 16 65 16 101
208,342994,55 11 0 4 3 6 0 0 0 65 29 165
209,344981,55 11 0 4 3 6 0 0 16 65 16 101
210,346978,55 11 0 4 3 6 0 0 16 65 16 101
211,347990,55 10 0 4 3 7 1 1 3 29 125
212,348978,55 11 0 4 3 6 0 0 48 65 9 165
213,349977,55 10 0 4 3 7 1 1 4 92 191
214,350978,55 11 0 4 3 6 0 0 192 64 140 101
215,352978,55 11 0 4 3 6 0 0 224 64 149 165
216,354978,55 11 0 4 3 6 0 0 64 65 44 101
217,356978,55 11 0 4 3 6 0 0 32 65 4 101
218,358978,55 11 0 4 3 6 0 0 48 65 9 165
219,360978,55 11 0 4 3 6 0 0 32 65 4 101
220,362978,55 11 0 4 3 6 0 0 16 65 16 101
221,364991,55 11 0 4 3 6 0 0 32 65 4 101
222,365978,55 11 0 4 3 6 0 0 16 65 16 101
223,367978,55 11 0 4 3 6 0 0 48 65 9 165
224,369983,55 11 0 4 3 6 0 0 0 65 29 165
225,371979,55 11 0 4 3 6 0 0 224 64 149 165
226,373985,55 11 0 4 3 6 0 0 16 65 16 101
227,375978,55 11 0 4 3 6 0 0 32 65 4 101
228,377979,55 11 0 4 3 6 0 0 32 65 4 101
229,379980,55 11 0 4 3 6 0 0 32 65 4 101
230,380978,55 11 0 4 3 6 0 0 32 65 4 101
231,382991,55 11 0 4 3 6 0 0 224 64 149 165
232,383978,55 11 0 4 3 6 0 0 224 64 149 165
233,384978,55 11 0 4 3 6 0 0 16 65 16 101
234,385977,55 10 0 4 3 7 1 1 4 92 191
235,387978,55 11 0 4 3 6 0 0 0 65 29 165
236,388977,55 10 0 4 3 7 1 1 3 29 125
